BKZ,Stadt
C0FT,Greifswald
C1VV,Hamburg
C1ZN,Northeim
C2CH,Emden
C2HY,Leer
C2ZJ,Mainz
C353,Sulzbach/Saar
C3HV,Berlin
C3R3,Fürstenberg/Havel
C5H6,Darmstadt
C5JH,Birkenau
C644,Witzenhausen
C712,Heiligenhaus
C72G,Schwalmtal
C73R,Bonn
C73Z,Bonn
C7T2,Meschede
C84T,Leipzig
C8PP,Leinzell
C8WN,Mannheim
C97C,Sasbach
C9R4,Maselheim
C9X9,Plettenberg
CFC5,Schrobenhausen
CG10,Oberhaid
CGG1,Haibach
CGNC,Kempten (Allgäu)
CH1H,München
